AliyaMessage.1-1.1.,Kane！别再说话了！\n我会想办法救你的！\n一定！！！\n什么？\n别说这种傻话了！\n别管手册上面是怎么说的了！\n真正的你就在我眼前，我不会让你死的！\n绝对不会！
AliyaMessage.1-1.2.,冷静下来\n冷静下来\n现在Kane的情况是撞击受伤导致肋骨断裂\n已经出现了张力性气胸的症状\n需要一个粗针头来放气\n针头...\n找到了！\n应该能用...\n但是应该插进哪个地方...\n培训课上我为什么没认真听！\nCOSMOS，你还没重启好吗？\nCOSMOS！？
PlayerChoice.1-1.3.,我在
PlayerChoice.1-1.4.,什么事？
PlayerChoice.1-1.5.,我不是COSMOS
AliyaMessage.1-1.14.,COSMOS！\n现在不是陪你玩的时候
AliyaMessage.1-1.13.,快告诉我张力性气胸应该把钢针插进第几肋间！
PlayerChoice.1-1.16.,第四肋间
PlayerChoice.1-1.17.,第二肋间
PlayerChoice.1-1.19.,我怎么会知道啊！
AliyaMessage.1-1.22.,快点告诉我！\nKane要不行了！
PlayerChoice.1-1.24.,第四肋间
PlayerChoice.1-1.25.,第二肋间
PlayerChoice.1-1.27.,我怎么会知道啊！
AliyaMessage.1-1.28.,好\n我要扎下去了
AliyaMessage.1-1.30.,你为什么不知道？\n去查啊！\n去你数据库里查啊！\n快啊！
PlayerChoice.1-1.35.,第四肋间
PlayerChoice.1-1.36.,第二肋间
AliyaMessage.1-1.140.,对！应该就是这个！
AliyaMessage.1-1.34.,Kane，你忍着点！
AliyaMessage.1-1.44.,呼，搞定了\nKane，我说过我不会让你死的\nCOSMOS\n这次也谢谢你了
AliyaMessage.1-1.40.,Kane！\nKane！！！\n......\n对不起\n我......
PlayerChoice.1-1.58.,对不起...我没有给出正确的位置
PlayerChoice.1-1.61.,请节哀...
AliyaMessage.1-1.63.,Kane！\nKane！！！\n......\n对不起\n我......
PlayerChoice.1-1.65.,对不起，我没有及时回答你
PlayerChoice.1-1.64.,请节哀
AliyaMessage.1-1.67.,COSMOS！！！\n你怎么能在这种时候出问题呢！！\n你知不知道Kane他！\nKane他......
PlayerChoice.1-1.82.,对不起...我也是第一次碰到这种情况，我只是一个普通人...
PlayerChoice.1-1.83.,这又不是我的错！还有！我不是COSMOS！
AliyaMessage.1-1.70.,我不需要你的安慰！
PlayerChoice.1-1.74.,我已经说过了，我不是COSMOS
PlayerChoice.1-1.76.,我不是COSMOS
PlayerChoice.1-1.150.,Aliya，还记得我吗？
PlayerChoice.1-1.78.,不用谢，还有现在是什么情况，为什么你一直叫我COSMOS？
AliyaMessage.1-1.98.,你不是COSMOS？
AliyaMessage.1-1.99.,只是一个普通人？\nCOSMOS，这不像是你说的话啊
AliyaMessage.1-1.106.,为什么你会有这个问题？\n有可能是程序出错了...\n不过不管怎么说\n我现在需要花几分钟先把Kane弄到休眠舱里\n之后我们再讨论这个问题
AliyaMessage.1-1.118.,好了，Kane已经在休眠舱里了\n已经脱离危险了\n我们继续吧
AliyaMessage.1-1.126.,COSMOS是船载AI\n和我从小就认识了\n如果你不是这个COSMOS\n那么你到底是谁？
PlayerChoice.1-1.153.,我是来自一千年前的人，我们约定过以风信子作为暗号的
PlayerChoice.1-1.128.,我刚从Steam启动一个游戏，然后就跳出一个窗口，你就在里面说话
PlayerChoice.1-1.129.,我对COSMOS一点都不了解，我只是一个随处可见的普通人
AliyaMessage.1-1-1.53.,风信子！
AliyaMessage.1-1-1.55.,你是！
PlayerChoice.1-1-1.68.,好了，先别激动，我知道你现在有很多想说的，但是我有很重要的事情要先说
PlayerChoice.1-1-1.56.,是的，是你想的那样，不过在寒暄之前先处理现在紧迫的问题吧
AliyaMessage.1-1-1.74.,是的，但是你是怎么知道
PlayerChoice.1-1-1.75.,先别管那么多了
AliyaMessage.1-1-1.78.,但是我现在都还没有检查是哪里出的问题
PlayerChoice.1-1-1.87.,我知道，你按照我说的来就行
PlayerChoice.1-1-1.81.,先去修动力室，压力阀有问题，直接破坏掉，不会爆炸的。
PlayerChoice.1-1-1.83.,动力室修好以后就不用管培育室了，那边温度自己会恢复正常
PlayerChoice.1-1-1.86.,之后去修制氧机，修好后启动不了不用急，我这边可以操作的
PlayerChoice.1-1-1.94.,等这些做完了你就安全了，我们再说接下来的东西
PlayerChoice.1-1-1.90.,首先，你现在飞船不是受损了吗？
PlayerChoice.1-1-1.91.,先赶紧去修飞船
AliyaMessage.1-1-1.143.,我知道了，我现在立马就去
AliyaMessage.1-1-1.104.,动力室顺利搞定了\n接下来就是制氧机
AliyaMessage.1-1-1.105.,制氧机也没问题了
PlayerChoice.1-1-1.107.,我马上启动制氧机
AliyaMessage.1-1-1.742.,麻烦你了
AliyaMessage.1-1-1.113.,氧气升上来了！
PlayerChoice.1-1-1.115.,太好了
PlayerChoice.1-1-1.118.,这下安全了
AliyaMessage.1-1-1.128.,什么？\n我不是很懂
PlayerChoice.1-1-1.129.,按照正常发展，你会在明天决定要去科朗2-C降落
PlayerChoice.1-1-1.144.,之后你会想要飞往科朗2-C
PlayerChoice.1-1-1.131.,但那里的空气和水都是有毒的
PlayerChoice.1-1-1.145.,那里风景很好，不过没有生还的机会
PlayerChoice.1-1-1.133.,你最后找到了父亲，但你也就此...
PlayerChoice.1-1-1.134.,所以你最后...氧气不够用..离开了（选择不告诉Aliya父亲的事情） |###| 所以你最后...氧气不够用..离开了
AliyaMessage.1-1-1.136.,父亲在那里吗！？\n居然真的是！
PlayerChoice.1-1-1.640.,你要去找他吗？
PlayerChoice.1-1-1.641.,太危险了，等以后你安全了再去吧
PlayerChoice.1-1-1.648.,你不能去那里，我不想再一次失去你了！
AliyaMessage.1-1-1.138.,我有一些想问你的事情...
PlayerChoice.1-1-1.139.,我知道你很疑惑，但现在情况紧急
PlayerChoice.1-1-1.142.,有问题一会儿再问吧
PlayerChoice.1-1-1.141.,相信我好吗？
AliyaMessage.1-1-1.644.,居然是这样...\n这样悲伤的结局啊...\n我...最终还是没找到答案吗...
PlayerChoice.1-1-1.645.,你离开的时候，我真的...无法接受
PlayerChoice.1-1-1.651.,放心吧！这次我绝对会让你活下来的！
PlayerChoice.1-1-1.652.,其实，你最后找到了你父亲（告诉Aliya父亲的事情） |###| 其实，你最后找到了你父亲
AliyaMessage.1-1-1.643.,既然你已经知道风信子这个暗号了\n你应该知道我作为人偶...时间没剩多少了\n这是我的最后的愿望\n并且目前飞船导航里只有公司和科朗\n也许能从父亲的飞船上找到新的方向
PlayerChoice.1-1-1.660.,好吧，但至少这次得做好万全的准备
PlayerChoice.1-1-1.647.,哭惨了
PlayerChoice.1-1-1.649.,太难受了
AliyaMessage.1-1-1.667.,安啦\n我现在不是还在这里吗？
PlayerChoice.1-1-1.677.,是的，这简直就像一场梦
AliyaMessage.1-1-1.654.,当然
PlayerChoice.1-1-1.655.,那这次得做好准备
PlayerChoice.1-1-1.658.,太危险了，等以后你安全了再来吧
PlayerChoice.1-1-1.657.,你不能去那里，我不想再一次失去你了！
AliyaMessage.1-1-1.661.,所以...\n上一次是飞船坠毁无法起飞了吗？
PlayerChoice.1-1-1.662.,是的，本来很顺利的降落突然就出了问题
PlayerChoice.1-1-1.663.,飞船直接硬着陆了，几乎完全损坏了
AliyaMessage.1-1-1.665.,那这次我会全面检查飞船状况\n确保一定不会出问题\n我先去给海獭号做体检了
AliyaMessage.1-1-1.669.,我也会加油的！\n所以接下来先要做什么？
PlayerChoice.1-1-1.670.,先去解锁曲率引擎，我拿到密钥了
PlayerChoice.1-1-1.686.,我有曲率引擎密钥
AliyaMessage.1-1-1.672.,密钥！\n曲率引擎密钥！\n你怎么拿到的！
PlayerChoice.1-1-1.673.,这个...就说来话长了，总之快去曲率引擎那里吧
PlayerChoice.1-1-1.674.,先别管这个了，快去尝试启动曲率引擎吧
AliyaMessage.1-1-1.676.,好！\n我这就去\n等我到了再给你发消息
AliyaMessage.1-1-1.689.,我已经到这里了\n密钥是多少？
PlayerChoice.1-1-1.690.,0XA89BC52E
AliyaMessage.1-1-1.679.,是的，这其实是一场梦\n你该醒了，{$name}\nAliya的死不是你的错
PlayerChoice.1-1-1.680.,？
PlayerChoice.1-1-1.681.,不要啊！！！！！
AliyaMessage.1-1-1.684.,好吧，这个玩笑显得有点不合时宜了\n抱歉哦\n不过我现在确实就在这里\n不用再担心我了\n现在让我们积极点面对接下来的事情吧！\n所以接下来要怎么做？
PlayerChoice.1-1-1.685.,先去解锁曲率引擎，我拿到密钥了
PlayerChoice.1-1-1.687.,我有曲率引擎密钥
AliyaMessage.1-1-1.692.,启动了！\n真的顺利启动了！\n我现在还有点没反应过来\n这一切都进展得好顺利
PlayerChoice.1-1-1.693.,快别愣着了，接下来想去哪就去哪吧，离开这个鬼地方
PlayerChoice.1-1-1.694.,这下就真的一切都完美了
AliyaMessage.1-1-1.696.,这次没有公司看着\n曲率引擎等级可以想用多高用多高了\n剩下的问题只有选择目的地了\n但目前飞船导航里只有公司和科朗\n再就是一个神秘的信号源了
PlayerChoice.1-1-1.697.,神秘信号源？
PlayerChoice.1-1-1.699.,你是说现在不断循环的这个声音？
AliyaMessage.1-1-1.703.,是的\n能确认它的方位\n和回到公司放在一起，也算是一个选择
PlayerChoice.1-1-1.704.,回公司吧，这样你就安全了
PlayerChoice.1-1-1.705.,去找那个信号吧，说不定能发现新的东西
AliyaMessage.1-1-1.707.,你说得对...
AliyaMessage.1-1-1.709.,我不能继续拿同伴的性命冒险了
AliyaMessage.1-1-1.712.,我确定目的地了\n曲率引擎还在准备中\n马上就要离开这里了\n我不知道信号会不会中断
PlayerChoice.1-1-1.713.,哪怕中断也不要紧的，我总有办法联系上你
PlayerChoice.1-1-1.714.,那保险起见，先道别吧
AliyaMessage.1-1-1.716.,那太令人兴奋了！\n到时候找不到东西再回公司也不迟\n希望这个曲率引擎还能经得起两次折腾\n应该问题不大
